	MOVIES	YEAR	GENRE	RATING	STARS	VOTES	RunTime
0	Blood Red Sky	(2021)	Action, Horror, Thriller	6.1	Director: Peter Thorwarth |      Stars: Peri Baumeister,  Carl Anton Koch,  Alexander Scheer,  Kais Setti	21062.0	121.0
1	Masters of the Universe: Revelation	(2021– )	Animation, Action, Adventure	5.0	Stars: Chris Wood,  Sarah Michelle Gellar,  Lena Headey,  Mark Hamill	17870.0	25.0
2	The Walking Dead	(2010–2022)	Drama, Horror, Thriller	8.2	Stars: Andrew Lincoln,  Norman Reedus,  Melissa McBride,  Lauren Cohan	885805.0	44.0
3	Rick and Morty	(2013– )	Animation, Adventure, Comedy	9.2	Stars: Justin Roiland,  Chris Parnell,  Spencer Grammer,  Sarah Chalke	414849.0	23.0
4	Army of Thieves	(2021)	Action, Crime, Horror	6.595237226277373	Director: Matthias Schweighöfer |      Stars: Matthias Schweighöfer,  Nathalie Emmanuel,  Ruby O. Fee,  Stuart Martin	21652.736861313868	79.83280507131538
5	Outer Banks	(2020– )	Action, Crime, Drama	7.6	Stars: Chase Stokes,  Madelyn Cline,  Madison Bailey,  Jonathan Daviss	25858.0	50.0
6	The Last Letter from Your Lover	(2021)	Drama, Romance	6.8	Director: Augustine Frizzell |      Stars: Shailene Woodley,  Joe Alwyn,  Wendy Nottingham,  Felicity Jones	5283.0	110.0
7	Dexter	(2006–2013)	Crime, Drama, Mystery	8.6	Stars: Michael C. Hall,  Jennifer Carpenter,  David Zayas,  James Remar	665387.0	53.0
8	Never Have I Ever	(2020– )	Comedy	7.9	Stars: Maitreyi Ramakrishnan,  Poorna Jagannathan,  Darren Barnet,  John McEnroe	34530.0	30.0
9	Virgin River	(2019– )	Drama, Romance	7.4	Stars: Alexandra Breckenridge,  Martin Henderson,  Colin Lawrence,  Tim Matheson	27279.0	44.0
10	Gunpowder Milkshake	(2021)	Action, Adventure, Thriller	6.0	Director: Navot Papushado |      Stars: Karen Gillan,  Lena Headey,  Carla Gugino,  Michelle Yeoh	17989.0	114.0
11	Lucifer	(2016–2021)	Crime, Drama, Fantasy	8.1	Stars: Tom Ellis,  Lesley-Ann Brandt,  Lauren German,  D.B. Woodside	264222.0	42.0
12	Fear Street: 1994	(2021)	Drama, Horror, Mystery	6.2	Director: Leigh Janiak |      Stars: Kiana Madeira,  Olivia Scott Welch,  Benjamin Flores Jr.,  Julia Rehwald	50148.0	107.0
13	Sex/Life	(2021– )	Comedy, Drama, Romance	5.4	Stars: Sarah Shahi,  Mike Vogel,  Adam Demos,  Margaret Odette	12172.0	79.83280507131538
14	American Horror Story	(2011– )	Drama, Horror, Thriller	8.0	Stars: Lady Gaga,  Kathy Bates,  Angela Bassett,  Sarah Paulson	286488.0	60.0
15	Grey's Anatomy	(2005– )	Drama, Romance	7.5	Stars: Ellen Pompeo,  Chandra Wilson,  James Pickens Jr.,  Justin Chambers	266258.0	41.0
16	Breaking Bad	(2008–2013)	Crime, Drama, Thriller	9.4	Stars: Bryan Cranston,  Aaron Paul,  Anna Gunn,  Betsy Brandt	1552311.0	49.0
17	The Good Doctor	(2017– )	Drama	8.1	Stars: Freddie Highmore,  Hill Harper,  Richard Schiff,  Antonia Thomas	70871.0	41.0
18	Atypical	(2017–2021)	Comedy, Drama	8.3	Stars: Jennifer Jason Leigh,  Keir Gilchrist,  Brigette Lundy-Paine,  Michael Rapaport	71544.0	30.0
19	Stranger Things	(2016– )	Drama, Fantasy, Horror	8.7	Stars: Millie Bobby Brown,  Finn Wolfhard,  Winona Ryder,  David Harbour	885856.0	51.0
20	Fear Street: 1978	(2021)	Drama, Horror, Mystery	6.8	Director: Leigh Janiak |      Stars: Sadie Sink,  Emily Rudd,  Ryan Simpkins,  McCabe Slye	36634.0	109.0
21	Friends	(1994–2004)	Comedy, Romance	8.9	Stars: Jennifer Aniston,  Courteney Cox,  Lisa Kudrow,  Matt LeBlanc	880918.0	22.0
22	The Flash	(2014– )	Action, Adventure, Drama	7.6	Stars: Grant Gustin,  Candice Patton,  Danielle Panabaker,  Carlos Valdes	320264.0	43.0
23	Peaky Blinders	(2013– )	Crime, Drama	8.8	Stars: Cillian Murphy,  Paul Anderson,  Helen McCrory,  Sophie Rundle	393414.0	60.0
24	He-Man and the Masters of the Universe	(2021– )	Animation, Action, Adventure	6.595237226277373		21652.736861313868	79.83280507131538
25	Chernobyl	(2021)	Drama, History, Romance	5.0	Director: Danila Kozlovskiy |      Stars: Danila Kozlovskiy,  Oksana Akinshina,  Filipp Avdeev,  Ravshana Kurkova	4681.0	136.0
26	Vikings	(2013–2020)	Action, Adventure, Drama	8.5	Stars: Katheryn Winnick,  Gustaf Skarsgård,  Alexander Ludwig,  Georgia Hirst	459913.0	44.0
27	Better Call Saul	(2015– )	Crime, Drama	8.8	Stars: Bob Odenkirk,  Rhea Seehorn,  Jonathan Banks,  Patrick Fabian	347857.0	46.0
28	Supernatural	(2005–2020)	Drama, Fantasy, Horror	8.4	Stars: Jared Padalecki,  Jensen Ackles,  Jim Beaver,  Misha Collins	404273.0	44.0
29	The Blacklist	(2013– )	Crime, Drama, Mystery	8.0	Stars: James Spader,  Megan Boone,  Diego Klattenhoff,  Ryan Eggold	213522.0	43.0
30	Fear Street: 1666	(2021)	Horror, Mystery	6.7	Director: Leigh Janiak |      Stars: Kiana Madeira,  Ashley Zukerman,  Gillian Jacobs,  Olivia Scott Welch	27447.0	114.0
31	Animal Kingdom	(2016– )	Crime, Drama	8.2	Stars: Shawn Hatosy,  Ben Robson,  Jake Weary,  Finn Cole	26926.0	60.0
32	Brooklyn Nine-Nine	(2013–2022)	Comedy, Crime	8.4	Stars: Andy Samberg,  Stephanie Beatriz,  Terry Crews,  Melissa Fumero	248583.0	22.0
33	NCIS: Naval Criminal Investigative Service	(2003– )	Action, Crime, Drama	7.7	Stars: Mark Harmon,  David McCallum,  Sean Murray,  Pauley Perrette	125619.0	60.0
35	Modern Family	(2009–2020)	Comedy, Drama, Romance	8.4	Stars: Ed O'Neill,  Sofía Vergara,  Julie Bowen,  Ty Burrell	378030.0	22.0
36	Titans	(I) (2018– )	Action, Adventure, Crime	7.7	Stars: Brenton Thwaites,  Teagan Croft,  Anna Diop,  Ryan Potter	73656.0	45.0
37	The Witcher	(2019– )	Action, Adventure, Fantasy	8.2	Stars: Henry Cavill,  Anna Shaffer,  Freya Allan,  Adjoa Andoh	336484.0	60.0
38	Downton Abbey	(2010–2015)	Drama, Romance	8.7	Stars: Hugh Bonneville,  Phyllis Logan,  Elizabeth McGovern,  Brendan Coyle	171804.0	58.0
39	Shingeki no kyojin	(2013–2022)	Animation, Action, Adventure	9.0	Stars: Yûki Kaji,  Marina Inoue,  Josh Grelle,  Yui Ishikawa	242582.0	24.0
40	Suits	(2011–2019)	Comedy, Drama	8.4	Stars: Gabriel Macht,  Patrick J. Adams,  Meghan Markle,  Sarah Rafferty	374263.0	44.0
41	La casa de papel	(2017–2021)	Action, Crime, Mystery	8.3	Stars: Úrsula Corberó,  Álvaro Morte,  Itziar Ituño,  Pedro Alonso	341858.0	70.0
42	Schitt's Creek	(2015–2020)	Comedy	8.5	Stars: Eugene Levy,  Catherine O'Hara,  Dan Levy,  Annie Murphy	90728.0	22.0
43	Outlander	(2014– )	Drama, Fantasy, Romance	8.4	Stars: Caitriona Balfe,  Sam Heughan,  Duncan Lacroix,  Sophie Skelton	134991.0	64.0
44	The Last Kingdom	(2015– )	Action, Drama, History	8.4	Stars: Alexander Dreymon,  Eliza Butterworth,  Arnas Fedaravicius,  Millie Brady	94650.0	60.0
45	Black Mirror	(2011– )	Drama, Sci-Fi, Thriller	8.8	Stars: Daniel Lapaine,  Hannah John-Kamen,  Michaela Coel,  Beatrice Robertson-Jones	469407.0	60.0
46	Ozark	(2017– )	Crime, Drama, Thriller	8.4	Stars: Jason Bateman,  Laura Linney,  Sofia Hublitz,  Skylar Gaertner	206090.0	60.0
47	The Crown	(2016– )	Biography, Drama, History	8.6	Stars: Claire Foy,  Olivia Colman,  Imelda Staunton,  Matt Smith	169517.0	58.0
48	Sweet Tooth	(2021– )	Action, Adventure, Drama	7.9	Stars: Nonso Anozie,  Christian Convery,  Adeel Akhtar,  Stefania LaVie Owen	37142.0	79.83280507131538
49	Army of the Dead	(2021)	Action, Crime, Horror	5.8	Director: Zack Snyder |      Stars: Dave Bautista,  Ella Purnell,  Ana de la Reguera,  Omari Hardwick	132378.0	148.0
